# LAMMPS data file for GO/rGO membrane simulation

216 atoms
5 atom types

-5.414718 18.000000 xlo xhi
-5.556773 13.688486 ylo yhi
-5.000000 22.160323 zlo zhi

Masses

1 12.011   # Carbon
2 15.999   # Oxygen
3 1.008   # Hydrogen
4 15.999   # Water O
5 1.008   # Water H

Atoms

1 1 0.000000 0.000000 0.000000
2 1 1.230000 0.000000 0.000000
3 1 1.230000 2.130422 0.000000
4 1 2.460000 2.130422 0.000000
5 1 0.000000 4.260845 0.000000
6 1 1.230000 4.260845 0.000000
7 1 1.230000 6.391267 0.000000
8 1 2.460000 6.391267 0.000000
9 1 0.000000 8.521690 0.000000
10 1 1.230000 8.521690 0.000000
11 1 2.460000 0.000000 0.000000
12 1 3.690000 0.000000 0.000000
13 1 3.690000 2.130422 0.000000
14 1 4.920000 2.130422 0.000000
15 1 2.460000 4.260845 0.000000
16 1 3.690000 4.260845 0.000000
17 1 3.690000 6.391267 0.000000
18 1 4.920000 6.391267 0.000000
19 1 2.460000 8.521690 0.000000
20 1 3.690000 8.521690 0.000000
21 1 4.920000 0.000000 0.000000
22 1 6.150000 0.000000 0.000000
23 1 6.150000 2.130422 0.000000
24 1 7.380000 2.130422 0.000000
25 1 4.920000 4.260845 0.000000
26 1 6.150000 4.260845 0.000000
27 1 6.150000 6.391267 0.000000
28 1 7.380000 6.391267 0.000000
29 1 4.920000 8.521690 0.000000
30 1 6.150000 8.521690 0.000000
31 1 7.380000 0.000000 0.000000
32 1 8.610000 0.000000 0.000000
33 1 8.610000 2.130422 0.000000
34 1 9.840000 2.130422 0.000000
35 1 7.380000 4.260845 0.000000
36 1 8.610000 4.260845 0.000000
37 1 8.610000 6.391267 0.000000
38 1 9.840000 6.391267 0.000000
39 1 7.380000 8.521690 0.000000
40 1 8.610000 8.521690 0.000000
41 1 9.840000 0.000000 0.000000
42 1 11.070000 0.000000 0.000000
43 1 11.070000 2.130422 0.000000
44 1 12.300000 2.130422 0.000000
45 1 9.840000 4.260845 0.000000
46 1 11.070000 4.260845 0.000000
47 1 11.070000 6.391267 0.000000
48 1 12.300000 6.391267 0.000000
49 1 9.840000 8.521690 0.000000
50 1 11.070000 8.521690 0.000000
51 2 9.840000 8.521690 1.400000
52 3 9.840000 8.521690 2.000000
53 2 2.460000 0.000000 1.400000
54 3 2.460000 0.000000 2.000000
55 2 0.000000 0.000000 1.400000
56 3 0.000000 0.000000 2.000000
57 2 6.150000 0.000000 1.400000
58 3 6.150000 0.000000 2.000000
59 2 9.840000 0.000000 1.400000
60 3 9.840000 0.000000 2.000000
61 2 3.160000 4.260845 1.200000
62 2 5.620000 0.000000 1.200000
63 2 6.850000 4.260845 1.200000
64 2 13.000000 2.130422 1.200000
65 2 2.460000 2.130422 1.400000
66 3 2.460000 2.130422 2.000000
67 4 9.857422 0.209522 5.265483
68 5 9.504642 0.186808 5.535890
69 5 10.224012 0.101327 5.039109
70 4 12.962619 3.631785 10.416644
71 5 12.289866 4.221404 10.610327
72 5 12.404158 2.796547 10.597144
73 4 8.508646 2.328633 16.410363
74 5 7.810762 2.193303 16.853979
75 5 8.348100 2.605685 16.307957
76 4 3.564798 8.385152 9.912008
77 5 4.352996 7.845062 9.625113
78 5 2.627066 8.688486 9.780534
79 4 11.236657 4.032548 16.618321
80 5 10.607708 4.769794 16.894918
81 5 11.778501 4.722115 16.879345
82 4 8.140864 1.118428 5.390314
83 5 8.982560 1.351729 5.686851
84 5 8.103909 0.353045 5.015500
85 4 8.912349 3.666933 7.406297
86 5 8.895538 2.795351 7.488268
87 5 8.450336 4.262052 7.216659
88 4 5.917862 0.099027 5.869363
89 5 5.702849 0.058904 5.969383
90 5 5.501187 0.488990 6.229485
91 4 10.138063 0.337619 10.766083
92 5 9.347923 -0.178291 11.252746
93 5 9.423054 0.335396 10.884239
94 4 9.132045 4.769153 5.117250
95 5 8.784967 4.804576 4.705117
96 5 8.833298 3.835559 4.695829
97 4 5.160003 1.130963 11.810490
98 5 5.538933 1.732136 11.510640
99 5 4.494968 0.340098 11.946920
100 4 9.184184 0.269167 16.234547
101 5 8.288127 0.351760 16.443607
102 5 9.926123 0.697341 16.536275
103 4 4.412853 6.943687 5.961378
104 5 5.202486 7.038872 6.278676
105 5 4.317489 7.230842 5.987781
106 4 9.510664 0.695625 5.724225
107 5 9.004870 0.014715 6.096009
108 5 8.949092 1.647356 5.561121
109 4 2.367533 6.729566 12.904493
110 5 2.363924 6.840293 13.123695
111 5 1.824442 7.722234 13.379286
112 4 8.454234 1.700439 13.162739
113 5 7.598631 0.761744 12.920422
114 5 8.379480 2.436984 13.389908
115 4 9.655185 3.625922 9.151220
116 5 9.397262 4.601221 8.691329
117 5 10.389248 3.783273 9.089835
118 4 9.428350 4.147242 15.481079
119 5 10.229753 3.990684 15.257907
120 5 9.613050 4.971969 15.191741
121 4 8.098566 5.381960 13.797356
122 5 7.361701 5.813610 14.206389
123 5 7.457932 4.857047 14.268751
124 4 2.352700 7.280805 10.907334
125 5 1.847163 8.022305 10.852640
126 5 2.382335 6.999272 11.000285
127 4 2.125810 3.332676 16.632948
128 5 1.642077 3.646149 16.458138
129 5 2.672757 2.594423 17.102769
130 4 5.899264 2.011549 5.881961
131 5 5.238780 2.051097 5.718964
132 5 6.557031 1.873324 5.630675
133 4 8.022885 6.022936 7.004503
134 5 7.358123 5.096279 7.240905
135 5 8.350494 5.972198 7.348673
136 4 10.473712 4.988208 15.419255
137 5 9.885394 4.212048 15.189005
138 5 9.587886 5.050547 15.855861
139 4 0.511466 1.040583 10.426388
140 5 1.379216 0.672895 10.433623
141 5 -0.405388 0.337269 10.913018
142 4 12.546543 0.042097 16.421741
143 5 12.824783 0.777934 16.376481
144 5 12.577735 0.019790 16.588606
145 4 1.815466 0.255426 8.695159
146 5 2.224828 -0.340867 8.868592
147 5 2.755290 -0.556773 8.867761
148 4 5.768753 7.398039 7.125797
149 5 6.154005 8.074270 7.570412
150 5 6.135249 7.392389 7.243645
151 4 11.295765 4.862559 5.364645
152 5 12.157662 5.241613 5.541158
153 5 10.727115 5.180330 5.258509
154 4 8.466029 0.908353 12.894144
155 5 9.464856 0.004777 13.371318
156 5 8.279845 1.649860 13.176529
157 4 7.371211 6.292835 15.542187
158 5 7.179492 5.946902 15.709780
159 5 7.986903 6.817405 15.840000
160 4 5.662583 6.969330 6.442509
161 5 5.751561 5.980847 6.267094
162 5 5.395506 6.761675 6.637976
163 4 5.051255 3.823628 7.850530
164 5 4.797759 3.278167 7.423725
165 5 5.258153 4.160054 7.970020
166 4 6.025423 3.236417 15.360004
167 5 6.063586 3.194780 14.885646
168 5 5.707918 2.996808 15.258827
169 4 7.542241 4.547195 12.294861
170 5 8.072007 5.173167 12.512984
171 5 8.453288 3.583661 11.990639
172 4 0.098317 5.517579 15.776367
173 5 -0.414718 6.371648 15.336634
174 5 0.967189 5.220824 15.377787
175 4 6.316333 2.188170 8.418475
176 5 5.930913 2.794222 8.457636
177 5 5.938948 2.408838 8.634625
178 4 3.544112 3.524137 6.462633
179 5 2.906411 3.886373 6.144071
180 5 3.594439 3.942230 6.069510
181 4 7.375059 2.186349 16.555123
182 5 7.342150 2.798334 16.605349
183 5 6.461884 2.452651 17.006526
184 4 7.820954 6.980873 15.610478
185 5 7.277113 6.404963 15.721459
186 5 7.643011 7.660596 16.010501
187 4 4.594478 2.018537 14.366306
188 5 4.144090 2.663766 14.290044
189 5 4.929578 1.209608 14.490166
190 4 5.872980 4.998895 7.016170
191 5 6.346727 5.724490 6.732910
192 5 5.064409 4.046173 7.158142
193 4 7.892222 4.658786 7.783365
194 5 7.674034 4.847739 7.780132
195 5 8.867794 3.931665 7.978510
196 4 5.256144 3.648984 13.611173
197 5 5.641016 4.631496 13.239567
198 5 4.464363 4.097662 13.689560
199 4 3.564089 0.676787 6.027899
200 5 4.352470 0.060522 5.851271
201 5 3.017401 0.386780 5.597323
202 4 6.747777 0.576173 14.604278
203 5 6.215201 0.656197 14.984357
204 5 7.049532 0.642089 14.428612
205 4 4.329025 5.705160 16.929672
206 5 4.652703 5.820727 17.160323
207 5 4.259436 4.825445 16.991969
208 4 12.449129 1.493877 13.280059
209 5 11.850996 1.565533 12.876735
210 5 12.349871 2.006204 13.127630
211 4 8.643852 6.778578 16.126134
212 5 8.113137 6.577210 15.778550
213 5 9.628819 7.632580 16.166091
214 4 10.946433 4.439442 12.483028
215 5 10.124682 4.949983 12.110742
216 5 11.598568 5.003499 12.691773
