time_min,Pb2+_conc_mg_L,E_coli_cfu_ml,E_coli_log_reduction
0.0,50.0,100000.0,0.0
1.0,49.72222222222222,69894.73207273484,0.15555555555555556
2.0,49.44444444444444,48852.73571519389,0.3111111111111111
3.0,49.166666666666664,34145.48873833602,0.4666666666666667
4.0,48.888888888888886,23865.89786858581,0.6222222222222222
5.0,48.611111111111114,16681.005372000585,0.7777777777777778
6.0,48.333333333333336,11659.144011798317,0.9333333333333333
7.0,48.05555555555556,8149.127469020745,1.0888888888888888
8.0,47.77777777777778,5695.810810737687,1.2444444444444445
9.0,47.5,3981.0717055349733,1.4
10.0,47.22222222222222,2782.5594022071245,1.5555555555555556
11.0,46.94444444444444,1944.8624389373624,1.711111111111111
12.0,46.666666666666664,1359.3563908785254,1.8666666666666667
13.0,46.388888888888886,950.1185073181439,2.022222222222222
14.0,46.111111111111114,664.0827850634844,2.1777777777777776
15.0,45.833333333333336,464.15888336127773,2.3333333333333335
16.0,45.55555555555556,324.422607917163,2.488888888888889
17.0,45.27777777777778,226.7543125870802,2.6444444444444444
18.0,45.0,158.48931924611142,2.8
19.0,44.72222222222222,110.77568505097088,2.9555555555555557
20.0,44.44444444444444,77.4263682681127,3.111111111111111
21.0,44.166666666666664,54.116952654646376,3.2666666666666666
22.0,43.888888888888886,37.82489906389387,3.422222222222222
23.0,43.611111111111114,26.437611857490985,3.577777777777778
24.0,43.333333333333336,18.478497974222908,3.7333333333333334
25.0,43.05555555555556,12.915496650148839,3.888888888888889
26.0,42.77777777777778,9.027251779484578,4.044444444444444
27.0,42.5,6.30957344480193,4.2
28.0,42.22222222222222,4.410059454176741,4.355555555555555
29.0,41.94444444444444,3.0823992397451434,4.511111111111111
30.0,41.666666666666664,2.1544346900318825,4.666666666666667
31.0,41.388888888888886,1.5058363542798416,4.822222222222222
32.0,41.111111111111114,1.0525002852777328,4.977777777777778
33.0,40.83333333333333,0.7356422544596406,5.133333333333334
34.0,40.55555555555556,0.5141751827683928,5.288888888888889
35.0,40.27777777777778,0.3593813663804626,5.444444444444445
36.0,40.0,0.25118864315095824,5.6
37.0,39.72222222222222,0.17556762912750012,5.7555555555555555
38.0,39.44444444444444,0.12271252398511891,5.911111111111111
39.0,39.166666666666664,0.08576958985908946,6.066666666666666
40.0,38.888888888888886,0.05994842503189409,6.222222222222222
41.0,38.611111111111114,0.04190079105786665,6.377777777777778
42.0,38.33333333333333,0.029286445646252372,6.533333333333333
43.0,38.05555555555556,0.0204696827180752,6.688888888888889
44.0,37.77777777777778,0.014307229891937586,6.844444444444444
45.0,37.5,0.01,7.0
46.0,37.22222222222222,0.01,7.0
47.0,36.94444444444444,0.01,7.0
48.0,36.666666666666664,0.01,7.0
49.0,36.388888888888886,0.01,7.0
50.0,36.111111111111114,0.01,7.0
51.0,35.83333333333333,0.01,7.0
52.0,35.55555555555556,0.01,7.0
53.0,35.27777777777778,0.01,7.0
54.0,35.0,0.01,7.0
55.0,34.72222222222222,0.01,7.0
56.0,34.44444444444444,0.01,7.0
57.0,34.166666666666664,0.01,7.0
58.0,33.888888888888886,0.01,7.0
59.0,33.611111111111114,0.01,7.0
60.0,33.33333333333333,0.01,7.0
61.0,33.05555555555556,0.01,7.0
62.0,32.77777777777778,0.01,7.0
63.0,32.5,0.01,7.0
64.0,32.22222222222222,0.01,7.0
65.0,31.944444444444443,0.01,7.0
66.0,31.666666666666664,0.01,7.0
67.0,31.38888888888889,0.01,7.0
68.0,31.11111111111111,0.01,7.0
69.0,30.833333333333332,0.01,7.0
70.0,30.555555555555554,0.01,7.0
71.0,30.27777777777778,0.01,7.0
72.0,30.0,0.01,7.0
73.0,29.72222222222222,0.01,7.0
74.0,29.444444444444443,0.01,7.0
75.0,29.166666666666664,0.01,7.0
76.0,28.88888888888889,0.01,7.0
77.0,28.61111111111111,0.01,7.0
78.0,28.333333333333332,0.01,7.0
79.0,28.055555555555554,0.01,7.0
80.0,27.77777777777778,0.01,7.0
81.0,27.5,0.01,7.0
82.0,27.22222222222222,0.01,7.0
83.0,26.944444444444443,0.01,7.0
84.0,26.666666666666664,0.01,7.0
85.0,26.38888888888889,0.01,7.0
86.0,26.11111111111111,0.01,7.0
87.0,25.833333333333332,0.01,7.0
88.0,25.555555555555554,0.01,7.0
89.0,25.277777777777775,0.01,7.0
90.0,25.0,0.01,7.0
