time_min,Pb2+_conc_mg_L,Pb2+_adsorbed_mg_g,Pb2+_saturation_pct,E_coli_cfu_ml,E_coli_log_reduction
0.0,50.0,0.0,0.0,10000.0,0.0
1.0,0.0,530.5,100.0,6989.473207273484,0.15555555555555556
2.0,0.0,530.5,100.0,4885.273571519389,0.3111111111111111
3.0,0.0,530.5,100.0,3414.5488738336016,0.4666666666666667
4.0,0.0,530.5,100.0,2386.5897868585807,0.6222222222222222
5.0,0.0,530.5,100.0,1668.1005372000586,0.7777777777777778
6.0,0.0,530.5,100.0,1165.9144011798317,0.9333333333333333
7.0,0.0,530.5,100.0,814.9127469020744,1.0888888888888888
8.0,0.0,530.5,100.0,569.5810810737687,1.2444444444444445
9.0,0.0,530.5,100.0,398.1071705534973,1.4
10.0,0.0,530.5,100.0,278.25594022071243,1.5555555555555556
11.0,0.0,530.5,100.0,194.48624389373626,1.711111111111111
12.0,0.0,530.5,100.0,135.93563908785254,1.8666666666666667
13.0,0.0,530.5,100.0,95.01185073181439,2.022222222222222
14.0,0.0,530.5,100.0,66.40827850634844,2.1777777777777776
15.0,0.0,530.5,100.0,46.41588833612777,2.3333333333333335
16.0,0.0,530.5,100.0,32.4422607917163,2.488888888888889
17.0,0.0,530.5,100.0,22.67543125870802,2.6444444444444444
18.0,0.0,530.5,100.0,15.848931924611142,2.8
19.0,0.0,530.5,100.0,11.077568505097087,2.9555555555555557
20.0,0.0,530.5,100.0,7.742636826811269,3.111111111111111
21.0,0.0,530.5,100.0,5.411695265464637,3.2666666666666666
22.0,0.0,530.5,100.0,3.782489906389386,3.422222222222222
23.0,0.0,530.5,100.0,2.6437611857490984,3.577777777777778
24.0,0.0,530.5,100.0,1.8478497974222907,3.7333333333333334
25.0,0.0,530.5,100.0,1.2915496650148839,3.888888888888889
26.0,0.0,530.5,100.0,0.9027251779484577,4.044444444444444
27.0,0.0,530.5,100.0,0.630957344480193,4.2
28.0,0.0,530.5,100.0,0.4410059454176741,4.355555555555555
29.0,0.0,530.5,100.0,0.30823992397451433,4.511111111111111
30.0,0.0,530.5,100.0,0.21544346900318823,4.666666666666667
31.0,0.0,530.5,100.0,0.15058363542798417,4.822222222222222
32.0,0.0,530.5,100.0,0.10525002852777328,4.977777777777778
33.0,0.0,530.5,100.0,0.07356422544596405,5.133333333333334
34.0,0.0,530.5,100.0,0.051417518276839276,5.288888888888889
35.0,0.0,530.5,100.0,0.03593813663804626,5.444444444444445
36.0,0.0,530.5,100.0,0.025118864315095822,5.6
37.0,0.0,530.5,100.0,0.01755676291275001,5.7555555555555555
38.0,0.0,530.5,100.0,0.01227125239851189,5.911111111111111
39.0,0.0,530.5,100.0,0.008576958985908947,6.066666666666666
40.0,0.0,530.5,100.0,0.005994842503189409,6.222222222222222
41.0,0.0,530.5,100.0,0.004190079105786665,6.377777777777778
42.0,0.0,530.5,100.0,0.002928644564625237,6.533333333333333
43.0,0.0,530.5,100.0,0.00204696827180752,6.688888888888889
44.0,0.0,530.5,100.0,0.0014307229891937585,6.844444444444444
45.0,0.0,530.5,100.0,0.001,7.0
46.0,0.0,530.5,100.0,0.001,7.0
47.0,0.0,530.5,100.0,0.001,7.0
48.0,0.0,530.5,100.0,0.001,7.0
49.0,0.0,530.5,100.0,0.001,7.0
50.0,0.0,530.5,100.0,0.001,7.0
51.0,0.0,530.5,100.0,0.001,7.0
52.0,0.0,530.5,100.0,0.001,7.0
53.0,0.0,530.5,100.0,0.001,7.0
54.0,0.0,530.5,100.0,0.001,7.0
55.0,0.0,530.5,100.0,0.001,7.0
56.0,0.0,530.5,100.0,0.001,7.0
57.0,0.0,530.5,100.0,0.001,7.0
58.0,0.0,530.5,100.0,0.001,7.0
59.0,0.0,530.5,100.0,0.001,7.0
60.0,0.0,530.5,100.0,0.001,7.0
