time_min,Pb2+_conc_mg_L,Pb2+_adsorbed_mg_g,Pb2+_saturation_pct,E_coli_cfu_ml,E_coli_log_reduction
0.0,50.0,0.0,0.0,100000.0,0.0
1.0,0.0,90.72,50.4,82540.41852680185,0.08333333333333333
2.0,0.0,113.03857152,62.79920640000001,68129.20690579613,0.16666666666666666
3.0,0.0,125.59330365143003,69.7740575841278,56234.13251903491,0.25
4.0,0.0,133.88155175261343,74.37863986256302,46415.888336127784,0.3333333333333333
5.0,0.0,139.83690330510467,77.68716850283593,38311.868495572875,0.4166666666666667
6.0,0.0,144.3535114462505,80.19639524791695,31622.776601683792,0.5
7.0,0.0,147.91139345564577,82.17299636424765,26101.57215682537,0.5833333333333334
8.0,0.0,150.7944937315292,83.77471873973845,21544.34690031884,0.6666666666666666
9.0,0.0,153.18278620144272,85.1015478896904,17782.794100389227,0.75
10.0,0.0,155.19644247801182,86.22024582111769,14677.992676220694,0.8333333333333334
11.0,0.0,156.91904858210222,87.17724921227901,12115.276586285885,0.9166666666666666
12.0,0.0,158.41069347349722,88.00594081860956,10000.0,1.0
13.0,0.0,159.71576831112404,88.7309823950689,8254.041852680186,1.0833333333333333
14.0,0.0,160.86782846570642,89.37101581428135,6812.920690579611,1.1666666666666667
15.0,0.0,161.8927404310358,89.94041135057545,5623.413251903491,1.25
16.0,0.0,162.81078440850976,90.45043578250542,4641.58883361278,1.3333333333333333
17.0,0.0,163.6380979799318,90.91005443329546,3831.186849557287,1.4166666666666667
18.0,0.0,164.3876911255319,91.32649506973993,3162.2776601683795,1.5
19.0,0.0,165.0701748530289,91.70565269612717,2610.157215682537,1.5833333333333333
20.0,0.0,165.69429395400246,92.05238553000137,2154.4346900318833,1.6666666666666667
21.0,0.0,166.26732298533102,92.37073499185057,1778.2794100389228,1.75
22.0,0.0,166.79536495570082,92.66409164205601,1467.79926762207,1.8333333333333333
23.0,0.0,167.2835796383296,92.93532202129423,1211.5276586285881,1.9166666666666667
24.0,0.0,167.73636020941078,93.18686678300598,1000.0,2.0
25.0,0.0,168.1574714199681,93.42081745553783,825.4041852680182,2.0833333333333335
